species common name,species latin name,family,system,location,sample size,,%,conservation designation,secondary conservation,Red list category,trophic guild,migratory status,fish size [mm],life stage,journal,journal IF,study,
small-spotted catshark,Scyliorhinus canicula,Scyliorhinidae,marine,Spain,18,14,78,N,,LC,piscivory; invertivory,resident,557.5,,"Estuarine, Coastal and Shelf Science",2.8,Alonso-Fernandez et al. 2022,
undulata skate,Raja undulata,Rajidae,marine,Spain,44,43,98,N,,EN,piscivory; invertivory,resident,751,,Aquatic Conservation: Marine and Freshwater Ecosystems,3.541,Leeb et al. 2021,
pearly razorfish,Xyrichtys novacula,Labridae,marine,Spain,320,232,73,N,PA,LC,invertivory,resident,167.5,adult,Frontiers in Marine Science,3.7,Aspillaga et al. 2021,
striped red mullet,Mullus surmuletus,Mullidae,marine,Spain,1,1,100,N,PA,LC,piscivory; invertivory,resident,210,,Marine and Freshwater Behaviour and Physiology,1,Mucientes et al. 2021,
corkwing wrasse,Symphodus melops,Labridae,marine,Spain,1,1,100,N,PA,LC,invertivory,resident,250,,Marine and Freshwater Behaviour and Physiology,1,Mucientes et al. 2021,
pollack,Pollachius pollachius,Gadidae,marine,Spain,1,1,100,N,,LC,piscivory,resident,330,,Marine and Freshwater Behaviour and Physiology,1,Mucientes et al. 2021,
white seabream,Diplodus sargus,Sparidae,marine,Spain,1,1,100,N,PA,LC,invertivory,resident,280,,Marine and Freshwater Behaviour and Physiology,1,Mucientes et al. 2021,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Spain,120,91,76,N,,LC,piscivory; invertivory,anadromous,,,Ecology of Freshwater Fish,1.8,Flavio et al. 2021,
pike ,Esox lucius,Esocidae,marine,Sweden,198,,,N,,LC,piscivory,resident,624.25,adult,Fisheries Research,2.4,Flink et al. 2023,
European eel,Anguilla anguilla,Anguillidae,freshwater,Sweden,98,90,92,Y,,CR,piscivory,catadromous,800,adult,Journal of Fish Biology,2,Kjaeras et al. 2023,
atlantic salmon; brown trout,Salmo salar; Salmo trutta,Salmonidae,freshwater,Sweden,80,72,90,N,,LC,piscivory; invertivory,anadromous,,,River Research and Applications,2.2,Leander et al. 2023,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Sweden,89,56,63,N,,LC,piscivory; invertivory,anadromous,203,juvenile,Ecological Engineering,3.8,Leander et al. 2021,
Eurasian perch,Perca fluviatilis,Percidae,freshwater,Sweden,44,44,100,N,,LC,piscivory; invertivory,resident,166,,Science of Total Environment,9.8,Fahlman et al. 2020,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Sweden,260,,,N,,LC,piscivory; invertivory,anadromous,403.8333333,,Sustainability,3.9,Vikstrom et al. 2020,
brown trout,Salmo trutta,Salmonidae,freshwater,Sweden,27,,,N,,LC,piscivory; invertivory,anadromous,421,,Sustainability,3.9,Vikstrom et al. 2020,
brown trout,Salmo trutta,Salmonidae,freshwater,Sweden,42,33,79,N,,LC,piscivory; invertivory,anadromous,,,Frontiers in Ecology and Evolution,3,Shry et al. 2019,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Sweden,40,32,80,N,,LC,piscivory; invertivory,anadromous,218.8,juvenile,Science of Total Environment,9.8,Klaminder et al. 2019,
Atlantic cod,Gadus morhua,Gadidae,marine,Sweden,48,39,81,N,,VU,piscivory,resident,298,juvenile,Ecology and Evolution,2.6,Staveley et al. 2019,
Giant Freshwater Whipray,Urogymnus polylepis,Dasyatidae,freshwater,Thailand,22,,,Y,,EN,invertivory,resident,2650,adult; juveniles,Water,3.4,Haetrakul et al. 2023,
,Bagarius yarrelli,Sisoridae,freshwater,Thailand,10,9,90,N,PA,VU,,resident,960,,Water ,3.4,Naughton et al. 2021,
Asian red tailed catfish,Hemibargus wyckioides,Bagridae,freshwater,Thailand,5,4,80,N,,LC,piscivory; invertivory,resident,821,,Water ,3.4,Naughton et al. 2021,
Bocourt's catfish,Pangasius bocourti,Pangasiidae,freshwater,Thailand,2,2,100,N,,LC,herbivory,resident,850,,Water ,3.4,Naughton et al. 2021,
,Wallago attu,Siluridae,freshwater,Thailand,2,2,100,N,,VU,piscivory,resident,902.5,,Water ,3.4,Naughton et al. 2021,
Pa pho,Pangasius conchophilus,Pangasiidae,freshwater,Thailand,1,1,100,N,,LC,piscivory; invertivory,resident,750,,Water ,3.4,Naughton et al. 2021,
giant catfish,Pangasianodon gigas,Pangasiidae,freshwater,Thailand,4,4,100,Y,,CR,filter feeder,resident,458.75,juvenile,Aquaculture Science,0.185,Yokoyama et al. 2021,
black scorpionfish,Scorpena porcus,Scorpaenidae,marine,Turkey,14,11,79,N,,LC,piscivory; invertivory,resident,233,,Fisheries Research,2.4,Ozgul et al. 2019,
red scorpionfish,Scorpena scorfa,Scorpaenidae,marine,Turkey,7,7,100,N,,LC,piscivory; invertivory,resident,321,,Fisheries Research,2.4,Ozgul et al. 2019,
European eel,Anguilla anguilla,Anguillidae,freshwater,UK,63,44,70,Y,,CR,piscivory,catadromous,630,adult,Journal of Environmental Management,8.7,Carter et al. 2023,
river lamprey,Lampetra fluviatilis,Petromyzontidae,freshwater,UK,120,,,Y,,LC,parasitic; filter feeders,anadromous,,adult,Anthropocene,3.6,Jubb et al. 2023,
river lamprey,Lampetra fluviatilis,Petromyzontidae,freshwater,UK,103,,,Y,,LC,parasitic; filter feeders,anadromous,362,adult,Fisheries Research,2.4,Jubb et al. 2023,
twaite shad,Alosa fallax,Culpeidae,freshwater,UK,173,125,72,Y,,LC,omnivory; inventivory,anadromous,362.8,adult,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Davies et al. 2023,
twaite shad,Alosa fallax,Culpeidae,freshwater,UK,173,71,41,Y,,LC,omnivory; inventivory,anadromous,,adult,Hydrobiologia,2.6,Yeldham et al. 2023,
river lamprey,Lampetra fluviatilis,Petromyzontidae,freshwater,UK,34,32,94,Y,,LC,parasitic; filter feeders,anadromous,,adult,Ecological Modelling,3.1,Kerr et al. 2023,
sea lamprey,Petromyzon marinus,Petromyzontidae,freshwater,UK,60,56,93,N,,LC,parasitic; filter feeders,anadromous,839.5,adult,Freshwater Biology,3.5,Davies et al. 2022,
European bass,Dicentrarchus labrax,Moronidae,marine,UK,146,134,92,N,,LC,piscivory,resident,315.6666667,adult; juveniles,ICES Journal of Marine Science,3.5,Stamp et al. 2021,
sea lamprey,Petromyzon marinus,Petromyzontidae,freshwater,UK,60,56,93,N,,LC,parasitic; filter feeders,anadromous,839.5,adult,Aquatic Conservation: Marine and Freshwater Ecosystems,3.54,Davies et al. 2021,
common bream,Abramis brama,Cyprinidae,freshwater,UK,181,57,31,N,,LC,omnivory,resident,399.8333333,adult,Freshwater Biology,3.5,Winter et al. 2021,
common bream,Abramis brama,Cyprinidae,freshwater,UK,19,8,42,N,,LC,omnivory,resident,411,adult,Ecosphere,2.7,Winter et al. 2021,
common bream,Abramis brama,Cyprinidae,freshwater,UK,181,57,31,N,,LC,omnivory,resident,400,adult,Journal of Fish Biology,2,Winter et al. 2020,
pike ,Esox lucius,Esocidae,freshwater,UK,45,23,51,N,,LC,piscivory,resident,734,adult,Journal of Fish Biology,2,Winter et al. 2020,
European eel,Anguilla anguilla,Anguillidae,freshwater,UK,110,99,90,Y,,CR,piscivory,catadromous,837.3333333,adult,Fisheries Research,2.4,Piper et al. 2020,
twaite shad,Alosa fallax,Culpeidae,freshwater,UK,73,58,79,Y,,LC,omnivory; inventivory,anadromous,395,adult,Aquatic Conservation: Marine and Freshwater Ecosystems,3.541,Davies et al. 2020,
European eel,Anguilla anguilla,Anguillidae,freshwater,UK,104,91,88,Y,,CR,piscivory,catadromous,887.4,,Aquatic Sciences,2.7,Basic et al. 2019,
twaite shad,Alosa fallax,Culpeidae,freshwater,UK,25,25,100,Y,,LC,omnivory; inventivory,anadromous,354,,Fisheries Research,2.4,Bolland et al. 2019,
barbel,Barbus barbus,Cyprinidae,freshwater,UK,22,18,82,N,,LC,invertivory,resident,556.6,,Hydrobiologia,2.6,Gutmann Roberts et al. 2019,
European eel,Anguilla anguilla,Anguillidae,freshwater,UK,50,41,82,Y,,CR,piscivory,catadromous,639,adult,Ecological Engineering,3.8,Piper et al. 2019,
European eel,Anguilla anguilla,Anguillidae,freshwater,UK,26,17,65,Y,,CR,piscivory,catadromous,670,,Fisheries Management and Ecology,2,Bolland et al. 2019,
Atlantic tarpon,Megalops atlanticus,Megalopidae,marine,USA,200,109,55,N,,VU,piscivory,resident,132800,adult,Marine Biology,2.5,Griffin et al. 2023,
common carp,Cyprinus carpio,Cyprinidae,freshwater,USA,34,34,100,N,,VU,invertivory,resident,622,adult,Movement Ecology,2.5,Raboin et al. 2023,
grass carp,Ctenopharyngodon idella ,Xenocyprididae,freshwater,USA,50,23,46,N,,LC,herbivory,resident,909,adult,Journal of Great Lakes Research,2.2,Harris et al. 2021,additional
cisco,Coregonus artedi,Salmonidae,freshwater,USA,210,,,N,,LC,invertivory,anadromous,159,juvenile,Scientific Reports,4.6,Koeberle et al. 2023,
whitefish,Coregonus clupeaformis,Salmonidae,freshwater,USA,91,,,N,,NE,invertivory,resident,,,Journal of Great Lakes Research,2.2,Kraus et al. 2023,not able to reach the paper yet
lake trout,Salvelinus namaycush,Salmonidae,freshwater,USA,211,176,83,N,,NE,piscivory; invertivory,resident,716,adult,Transactions of the American Fisheries Society,1.4,Funnel et al. 2023,
atlantic sturgeon,Acipenser oxyrinchus,Acipenseridae,marine,USA,147,79,54,Y,,VU,invertivory,anadromous,1640,adult,Transactions of the American Fisheries Society,1.4,Denison et al. 2023,
atlantic goliath grouper,Epinephelus itajara,Epinephelidae,marine,USA,50,50,100,Y,,VU,piscivory; invertivory,resident,1609,adult,Fishes,2.4,Ellis et al. 2023,
finetooth,Carcharhinus isodon,Carcharhinidae,marine,USA,61,55,90,Y,,NT,piscivory,resident,104000,adult; juveniles,PlosONE,3.7,Reyier et al. 2023,
blacknose,Carcharhinus acronotus,Carcharhinidae,marine,USA,60,57,95,Y,,EN,piscivory,resident,96000,adult; juveniles,PlosONE,3.7,Reyier et al. 2023,
Atlantic sharpnose shark,Rhizoprionodon terraenovae,Carcharhinidae,marine,USA,44,38,86,Y,,LC,piscivory,resident,74000,adult; juveniles,PlosONE,3.7,Reyier et al. 2023,
scalloped hammerhead,Sphyrna lewini,Sphyrnidae,marine,USA,39,39,100,Y,,CR,piscivory,resident,45000,juvenile,PlosONE,3.7,Reyier et al. 2023,
lemon shark,Negaprion brevirostris,Carcharhinidae,marine,USA,30,30,100,Y,,VU,piscivory,resident,87000,juvenile,PlosONE,3.7,Reyier et al. 2023,
walleye,Sander vitreus,Percidae,freshwater,USA,132,57,43,N,,LC,piscivory,resident,,adult,Journal of Great Lakes Research,2.2,Elliot et al. 2023,
American eel,Anguilla rostrata,Anguillidae,freshwater,USA,5,,,Y,,EN,piscivory; invertivory,catadromous,729,adult,ICES Journal of Marine Science,3.5,Burliuk et al. 2023,
spot,Leiostomus xanthurus,Sciaenidae,freshwater,USA,25,,,N,,LC,invertivory,resident,169.3,juvenile,Estuaries and Coasts,2.8,Craig et al. 2023,
red drum,Sciaenops ocellatus,Sciaenidae,marine,USA,30,26,87,Y,,LC,piscivory; invertivory,resident,91.95,adult,Fishes,2.4,Baker et al. 2023,
lake sturgeon,Acipenser fulvescens,Acipenseridae,freshwater,USA,283,52,18,Y,,EN,invertivory,resident,,adult,Oecologia,3,Buchinger et al. 2023,
lake sturgeon,Acipenser fulvescens,Acipenseridae,freshwater,USA,15,15,100,Y,,EN,invertivory,resident,92.75,,North American Journal of Fisheries Management,1.1,Shaw et al. 2023,
walleye,Sander vitreus,Percidae,freshwater,USA,20,,,N,,LC,piscivory,resident,679,adult,Journal of Great Lakes Research,2.2,Elliot et al. 2023,
smallmouth bass,Micropterus dolomieu,Centrarchidae,freshwater,USA,19,8,42,N,,LC,piscivory,resident,453,adult,Journal of Great Lakes Research,2.2,Slagle & Faust 2023,
permit,Trachinotus falcatus,Carangidae,marine,USA,17,13,76,N,,LC,piscivory; invertivory,resident,636,,Environmental Biology of Fishes,1.6,Boucek et al. 2023,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,56,51,91,Y,,NE,piscivory; invertivory,anadromous,856.5,,Ecological Engineering,3.8,Twardek et al. 2023,
lake trout,Salvelinus namaycush,Salmonidae,freshwater,USA,189,,,N,,NE,piscivory; invertivory,resident,714,adult,Journal of Great Lakes Research,2.2,Binder et al. 2023,
grass carp,Ctenopharyngodon idella ,Xenocyprididae,freshwater,USA,86,38,44,N,,LC,herbivory,resident,716.25,adult,North American Journal of Fisheries Management,1.1,Hessler et al. 2023,
white shark,Carcharodon carcharias,Lamnidae,marine,USA,326,30,9,Y,,VU,piscivory,resident,3879.85,adult; juveniles,Frontiers in Marine Science,3.7,Kanive et al. 2023,
Nassau grouper,Epinephelus striatus,Epinephelidae,marine,USA,24,22,92,Y,MPA,CR,piscivory,resident,632,adult,Frontiers in Marine Science,3.7,Nemeth et al. 2023,
common carp,Cyprinus carpio,Cyprinidae,freshwater,USA,102,89,87,N,,VU,invertivory,resident,636.9,adult,Aquatic Sciences,2.7,Piczak et al. 2023,
atlantic salmon,Salmo salar,Salmonidae,freshwater,USA,1482,,,N,,LC,piscivory; invertivory,anadromous,188,juvenile,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Molina-Moctezuma et al. 2022,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,750,,,Y,,NE,piscivory; invertivory,anadromous,81.3,juvenile,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Hause et al. 2022,
common snook,Centropomus undecimalis,Centropomidae,freshwater,USA,206,173,84,Y,,LC,piscivory,amphidromus,690,adult,Movement Ecology,4.3,Massie et al. 2022,
red snapper,Lutjanus campechanus,Lutjanidae,marine,USA,141,34,24,Y,,VU,piscivory; invertivory,resident,404,,Scientific Reports,4.6,Bohaboy et al. 2022,
gray triggerfish,Balistes capriscus,Balistidae,marine,USA,26,15,58,Y,,VU,invertivory,resident,426,,Scientific Reports,4.6,Bohaboy et al. 2022,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,795,,,Y,,NE,piscivory; invertivory,anadromous,,,Environmental Biology of Fishes,1.6,Dodrill et al. 2022,
green sturgeon,Acipenser medirostris,Acipenseridae,marine,USA,31,,,Y,,EN,invertivory,anadromous,413,juvenile,Environmental Biology of Fishes,1.6,Thomas et al. 2022,
striped bass ,Morone saxatilis,Moronidae,marine,USA,74,72,97,N,,LC,piscivory,resident,283,juvenile,Environmental Biology of Fishes,1.6,Le Doux-Bloom et al. 2022,
Flathead catfish,Pylodictis olivaris,Ictaluridae,freshwater,USA,2,2,100,N,,LC,piscivory,resident,,adult,Northeastern Naturalist,0.4,Burundage & Park 2022,
atlantic sturgeon,Acipenser oxyrinchus,Acipenseridae,marine,USA,181,146,81,Y,,VU,invertivory,anadromous,,,Animal Behaviour,2.5,Roose et al. 2022,
tiger shark,Carcharias taurus,Carcharhinidae,marine,USA,207,201,97,Y,,CR,piscivory,resident,,,Animal Behaviour,2.5,Roose et al. 2022,
common snook,Centropomus undecimalis,Centropomidae,freshwater,USA,76,45,59,Y,,LC,piscivory,amphidromus,655,,Estuaries and Coasts,2.8,Rehage et al. 2022,
smallmouth bass,Micropterus dolomieu,Centrarchidae,freshwater,USA,17,13,76,N,,LC,piscivory,resident,382,adult,Frontiers in Ecology and Evolution,3,Bloomfield et al. 2022,
lake trout,Salvelinus namaycush,Salmonidae,freshwater,USA,17,14,82,N,,NE,piscivory; invertivory,resident,424,adult,Frontiers in Ecology and Evolution,3,Bloomfield et al. 2022,
bull shark,Carcharhinus leucas,Carcharhinidae,marine,USA,29,24,83,Y,,VU,piscivory,resident,1115,juvenile,Marine Ecology Progress Series,2.6,Edwards et al. 2022,
rainbow trout,Oncorhynchus mykiss,Salmonidae,freshwater,USA,67,,,N,,NE,piscivory; invertivory,anadromous,369,,North American Journal of Fisheries Management,1.1,Olivier et al. 2022,
silver carp,Hypophthalmichthys molitrix ,Xenocyprididae,freshwater,USA,300,201,67,N,,NT,filter feeder,resident,700.95,adult,Biological Invasions,3.1,Coulter et al. 2022,
tarpon,Megalops atlanticus,Megalopidae,marine,USA,68,,,N,,VU,piscivory,resident,1118.4,adult; juveniles,Ecological Applications,5,Griffin et al. 2022,
permit,Trachinotus falcatus,Carangidae,marine,USA,116,,,N,,LC,piscivory; invertivory,resident,610.8,adult; juveniles,Ecological Applications,5,Griffin et al. 2022,
great hammerhead,Sphyrna mokarran,Sphyrnidae,marine,USA,42,,,Y,,CR,piscivory,resident,2535.75,adult; juveniles,Ecological Applications,5,Griffin et al. 2022,
bull shark,Carcharhinus leucas,Carcharhinidae,marine,USA,31,,,Y,,VU,piscivory,resident,2271.85,adult; juveniles,Ecological Applications,5,Griffin et al. 2022,
green sturgeon,Acipenser medirostris,Acipenseridae,marine,USA,350,151,43,Y,,EN,invertivory,anadromous,1726,,Ecosphere,2.7,Colborne et al. 2022,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,2212,,,Y,,NE,piscivory; invertivory,anadromous,96.4,juvenile,North American Journal of Fisheries Management,1.1,Hassrick et al. 2022,
permit,Trachinotus falcatus,Carangidae,marine,USA,150,127,85,N,,LC,piscivory; invertivory,resident,681,adult; juveniles,Journal of Applied Ecology,5.7,Brownscombe et al. 2022,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,650,121,19,Y,,NE,piscivory; invertivory,anadromous,76.6,juvenile,PlosONE,3.7,Holleman et al. 2022,
gray triggerfish,Balistes capriscus,Balistidae,marine,USA,56,49,88,Y,,VU,invertivory,resident,395,adult,Fishery Bulletin,0.8,McKinzie & Szedlmayer 2022,
greater amberjack,Seriola dumerili,Carangidae,marine,USA,78,,,Y,,LC,piscivory; invertivory,resident,803,,Fishery Bulletin,0.8,Boyle et al. 2022,
paddlefish,Polyodon spathula,Polyodontidae,freshwater,USA,121,,,Y,,VU,filter feeder,resident,,,PeerJ Computere Science,3.8,Turney et al. 2022,
lake sturgeon,Acipenser fulvescens,Acipenseridae,freshwater,USA,35,,,Y,,EN,invertivory,resident,,adult,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Izzo et al. 2022,
Atlantic tarpon,Megalops atlanticus,Megalopidae,marine,USA,57,,,N,,VU,piscivory,resident,1314.5,adult; juveniles,Marine Ecology Progress Series,2.6,Griffin et al. 2022,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,2662,,,Y,,NE,piscivory; invertivory,anadromous,98.4875,juvenile,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Hance wt al. 2022,
blue catfish,Ictalurus furcatus,Ictaluridae,marine,USA,61,,,N,,LC,piscivory; invertivory,resident,950,,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Bunch et al. 2022,
yellow perch,Perca flavescens,Percidae,freshwater,USA,60,,,N,,LC,piscivory; invertivory,resident,,juvenile,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Matley et al. 2022,couldn't reach the paper
lake sturgeon,Acipenser fulvescens,Acipenseridae,freshwater,USA,205,158,77,Y,,EN,invertivory,resident,1487,,Journal of Great Lakes Research,2.2,Colborne et al. 2021,
,,Serranidae,marine,USA,61,,,,,,,resident,,,Animal Biotelemetry,2.7,Keller et al. 2021,
,,Lutjanidae,marine,USA,44,,,,,,,resident,,,Animal Biotelemetry,2.7,Keller et al. 2021,
striped bass ,Morone saxatilis,Moronidae,marine,USA,59,,,N,,LC,piscivory,resident,524,adult; juveniles,Frontiers in Marine Science,3.7,Taylor et al. 2021,
cowcod,Sebastes levis,Sebastidae,marine,USA,47,28,60,N,PA,NE,,resident,614,,ICES Journal of Marine Science,3.5,Wegner et al. 2021,
bocaccio,Sebastes paucispinis,Sebastidae,marine,USA,41,37,90,N,PA,CR,piscivory,resident,535,,ICES Journal of Marine Science,3.5,Wegner et al. 2021,
sunset rockfish,Sebastes crocotulus,Sebastidae,marine,USA,13,10,77,N,PA,NE,,resident,510,,ICES Journal of Marine Science,3.5,Wegner et al. 2021,
bank rockfish,Sebastes rufus,Sebastidae,marine,USA,13,9,69,N,PA,NE,,resident,407,,ICES Journal of Marine Science,3.5,Wegner et al. 2021,
bighead carp,Hypophthalmichthys spp.,Cyprinidae,freshwater,USA,363,302,83,N,,NT,filter feeder,resident,960.8333333,adult,Biological Invasions,3.1,Vallazza et al. 2021,
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,freshwater,USA,650,96,15,Y,,NE,piscivory; invertivory,anadromous,,juvenile,Water ,3.4,Gross et al. 2021,
red snapper,Lutjanus campechanus,Lutjanidae,marine,USA,30,28,93,Y,,VU,piscivory; invertivory,resident,403,,Fisheries Research,2.4,Froehlich et al. 2021,
lake sturgeon,Acipenser fulvescens,Acipenseridae,freshwater,USA,25,,,Y,,EN,invertivory,resident,1342.5,adult,Journal of Great Lakes Research,2.2,Izzo et al. 2021,
lionfish,Pterois miles,Scorpaenidae,marine,USA,40,35,88,N,,LC,piscivory,resident,230.7,,Marine Ecology Progress Series,2.6,Green et al. 2021,
bull trout,Salvelinus confluentus,Salmonidae,freshwater,USA,268,217,81,Y,,VU,filter feeder; inventivory,anadromous,472.75,adult; juveniles,Environmental Biology of Fishes,1.6,Goetz et al. 2021,
red snapper,Lutjanus campechanus,Lutjanidae,marine,USA,44,36,82,Y,,VU,piscivory; invertivory,resident,667,,Marine and Coastal Fisheries,1.7,Runde et al. 2021,
vermilion rockyfish,Sebastes miniatus,Sebastidae,marine,USA,55,37,67,,,NE,,resident,,,Marine Environmental Research,3.3,Burns et al. 2021,
hornyhead turbot,Pleuronichthys verticalis,Pleuronectidae,marine,USA,15,14,93,N,PA,LC,invertivory,resident,,,Marine Environmental Research,3.3,Burns et al. 2021,
white croaker,Genyonemus lineatus,Sciaenidae,marine,USA,82,48,59,N,,LC,piscivory; invertivory,resident,,,Marine Environmental Research,3.3,Burns et al. 2021,
red drum,Sciaenops ocellatus,Sciaenidae,marine,USA,67,59,88,Y,,LC,piscivory; invertivory,resident,533,,Marine and Coastal Fisheries,1.7,Nelson et al. 2021,
spotted seatrout,Cynoscion nebulosus,Sciaenidae,marine,USA,38,33,87,Y,,LC,piscivory; invertivory,resident,,,Marine and Coastal Fisheries,1.7,Nelson et al. 2021,
gulf sturgeon,Acipenser oxyrinchus,Acipenseridae,marine,USA,10,6,60,Y,,VU,invertivory,anadromous,1429,adult,Journal of Applied Ichthyology,1.2,Marbury et al. 2021,
walleye,Sander vitreus,Percidae,freshwater,USA,359,,,N,,LC,piscivory,resident,517.5,adult,Journal of Great Lakes Research,2.2,Turner et al. 2021,
sea bream,Archosargus rhomboidalis,Sparidae,marine,USA,27,18,67,N,PA,LC,omnivory,resident,222,adult,"Estuarine, Coastal and Shelf Science",2.8,Kendall et al. 2021,
deacon rockfish,Sebastes diaconus,Sebastidae,marine,USA,11,6,55,,,NE,filter feeder,,362,,Environmental Biology of Fishes,1.6,Rasmuson et al. 2021,
atlantic salmon,Salmo salar,Salmonidae,freshwater,USA,1611,,,N,,LC,piscivory; invertivory,anadromous,185,juvenile,Transactions of the American Fisheries Society,1.4,Molina-Moctezuma et al. 2021,
giant sea bass,Stereolepis gigas,Polyprionindae,marine,USA,34,32,94,Y,,CR,filter feeder,resident,,adult,Environmental Biology of Fishes,1.6,Clevestine & Lowe 2021,
grass carp,Ctenopharyngodon idella ,Xenocyprididae,freshwater,USA,70,27,39,N,,LC,herbivory,resident,917,adult,North American Journal of Fisheries Management,1.1,Harris et al. 2021,
muskellunge,Esox masquinongy,Esocidae,freshwater,USA,133,58,44,N,,LC,piscivory,resident,1007,,Journal of Great Lakes Research,2.2,Hessenauer et al. 2021,
white shark,Carcharodon carcharias,Lamnidae,marine,USA,18,,,Y,,VU,piscivory,resident,1563,juvenile,Frontiers in Marine Science,3.7,Shaw et al. 2021,
silver carp,Hypophthalmichthys molitrix ,Xenocyprididae,freshwater,USA,116,53,46,N,,NT,filter feeder,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
bighead carp,Hypophthalmichthys nobilis ,Xenocyprididae,freshwater,USA,99,38,38,N,,DD,filter feeder,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
grass carp,Ctenopharyngodon idella ,Xenocyprididae,freshwater,USA,47,18,38,N,,LC,herbivory,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
lake sturgeon,Acipenser fulvescens,Acipenseridae,freshwater,USA,56,26,46,Y,,EN,invertivory,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
bigmouth buffalo,Ictiobus cyprinellus,Catostomidae,freshwater,USA,24,11,46,N,,LC,filter feeder,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
paddlefish,Polyodon spathula,Polyodontidae,freshwater,USA,45,28,62,Y,,VU,filter feeder,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
blue sucker,Cycleptus elongatus,Catostomidae,freshwater,USA,23,4,17,Y,PA,LC,,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
Flathead catfish,Pylodictis olivaris,Ictaluridae,freshwater,USA,25,4,16,N,,LC,piscivory,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
channel catfish,Ictalurus punctatus,Ictaluridae,freshwater,USA,20,3,15,N,,LC,piscivory; invertivory,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
American eel,Anguilla rostrata,Anguillidae,freshwater,USA,2,1,50,Y,,EN,piscivory; invertivory,catadromous,,,Biological Invasions,3.1,Fritts et al. 2021,
walleye,Sander vitreus,Percidae,freshwater,USA,17,0,0,N,,LC,piscivory,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
sauger,Sander canadensis,Percidae,freshwater,USA,3,0,0,N,,LC,piscivory,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
blue catfish,Ictalurus furcatus,Ictaluridae,marine,USA,1,0,0,N,,LC,piscivory; invertivory,resident,,,Biological Invasions,3.1,Fritts et al. 2021,
Aligator Gar,Atractosteus spatula,Lepisosteidae,freshwater,USA,16,15,94,Y,,LC,piscivory,resident,1713,,North American Journal of Fisheries Management,1.1,Lochman et al. 2021,
American shad,Alosa spaidissima,Culpeidae,freshwater,USA,266,212,80,Y,,LC,filter feeder,anadromous,494,adult; juveniles,North American Journal of Fisheries Management,1.1,Mack et al. 2021,
Whitespotted eagle ray,Aetobatus narinari,Aetobatidae,marine,USA,54,30,56,N,,EN,invertivory,resident,1485,,Marine Biology,2.5,DeGroot et al. 2021,
grass carp,Ctenopharyngodon idella ,Xenocyprididae,freshwater,USA,50,23,46,N,,LC,herbivory,resident,909,adult,Journal of Great Lakes Research,2.2,Harris et al. 2021,
common snook,Centropomus undecimalis,Centropomidae,freshwater,USA,83,41,49,Y,,LC,piscivory,amphidromus,844.1,adult,Marine Ecology Progress Series,2.6,Ault et al. 2021,
atlantic sturgeon,Acipenser oxyrinchus,Acipenseridae,freshwater,USA,50,38,76,Y,,VU,invertivory,anadromous,,juvenile,Fishery Bulletin,0.8,Fox et al. 2021,
atlantic sturgeon,Acipenser oxyrinchus,Acipenseridae,freshwater,USA,74,,,Y,,VU,invertivory,anadromous,1371,,Journal of Nortwest Atlantic Fishery Science,0.67,Flanigan et al. 2021,
walleye,Sander vitreus,Percidae,freshwater,USA,357,,,N,,LC,piscivory,resident,,adult,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Munaweera et al. 2021,
American eel,Anguilla rostrata,Anguillidae,freshwater,USA,355,341,96,Y,,EN,piscivory; invertivory,catadromous,615,,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Mesinger et al. 2021,
