species common name,species latin name,family,system,location,sample size,,%,conservation designation,secondary conservation,Red list category,trophic guild,migratory status,fish size [mm],life stage,journal,journal IF,study,
freshwater catfish,Tandanus tandanus,Plotosidae,freshwater,Australia,20,20,100,Y,,LC,piscivory; invertivory,resident,522,adult,Ecology of Freshwater Fish,1.8,Carpenter-Bundhoo et al. 2020,
Murray cod,Maccullochella peelii,Percichthyidae,freshwater,Australia,10,10,100,Y,,LC,piscivory,resident,686,adult,Ecology of Freshwater Fish,1.8,Carpenter-Bundhoo et al. 2020,
leopard coralgrouper,Plectropomus leopardus,Serranidae,marine,Australia,38,36,95,Y,,LC,piscivory,resident,487.235,,Functional Ecology,5.2,Scott et al. 2019,
mulloway,Argyrosomus japonicus,Sciaenidae,marine,Australia,24,13,54,Y,,EN,piscivory,resident,622,juvenile,Coget Environmental Science,2.7,Lieschke 2019,
pink snapper,Chrysophrys auratus,Sparidae,marine,Australia,40,33,83,N,,LC,piscivory; invertivory,resident,,adult,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Crisafulli et al. 2019,
flathead mullet,Mugil cephalus,Mugilidae,marine,Australia,141,,,Y,PA,LC,filter feeder,resident,,adult,Marine and Freshwater Research,1.8,Harding et al. 2019,
pinkeye mullet,Trachystoma petardi,Mugilidae,marine,Australia,28,,,N,,LC,herbivory,resident,,adult,Marine and Freshwater Research,1.8,Harding et al. 2019,
smooth hammerhead,Sphyrna zygaena,Sphyrnidae,marine,Azores,15,13,87,,,VU,piscivory,resident,1340,juvenile,Frontiers in Marine Science,3.7,Afonso et al. 2022,
yellowmouth barracuda,Sphyrna viridensis,Sphyraenidae,marine,Azores,17,13,76,N,PA,LC,piscivory,resident,840,,Marine Ecology Progress Series,2.6,Gandra et al. 2020,
a;maco jack,Seriola rivoliana,Carangidae,marine,Azores,16,16,100,Y,,LC,piscivory; invertivory,resident,697,,Marine Ecology Progress Series,2.6,Gandra et al. 2020,
bonefish,Albula vulpes,Albulidae,marine,Bahamas,2,2,100,Y,,NT,invertivory,resident,115.5,juvenile,Environmental Biology of Fishes,1.6,Szekeres et al. 2023,
great barracuda,Sphyraena barracuda,Sphyraenidae,marine,Bahamas,22,21,95,Y,,LC,piscivory,resident,183,juvenile,Environmental Biology of Fishes,1.6,Szekeres et al. 2023,
redfin needlefish,Strongylura notata,Belonidae,marine,Bahamas,21,21,100,N,,LC,piscivory,resident,273,juvenile,Environmental Biology of Fishes,1.6,Szekeres et al. 2023,
yellowfin mojarra,Gerres cinereus,Gerreidae,marine,Bahamas,20,19,95,N,,LC,invertivory,resident,81.5,juvenile,Environmental Biology of Fishes,1.6,Szekeres et al. 2023,
bonefish,Albula vulpes,Albulidae,marine,Bahamas,6,6,100,Y,,NT,invertivory,resident,484.5,,Aquatic Conservation: Marine and Freshwater Ecosystems,3.54,Adams et al. 2021,
bonefish,Albula vulpes,Albulidae,marine,Bahamas,10,4,40,Y,MPA,NT,invertivory,resident,420,adult,Marine Biology,2.5,Lombardo et al. 2020,
Nassau grouper,Epinephelus striatus,Epinephelidae,marine,Bahamas,45,43,96,Y,,CR,piscivory,resident,638.4,,Frontiers in Marine Science,3.7,Sherman et al. 2020,
bonefish,Albula vulpes,Albulidae,marine,Bahamas,10,7,70,Y,,NT,invertivory,resident,434,adult,Environmental Biology of Fishes,1.6,Adams et al. 2019,
Atlantic cod,Gadus morhua,Gadidae,marine,Belgium,15,14,93,N,PA,VU,piscivory,resident,447.5,adult,Environmental Pollution,8.9,van der Knaap et al. 2022,
Atlantic cod,Gadus morhua,Gadidae,marine,Belgium,27,27,100,N,,VU,piscivory,resident,380,,Animal Biotelemetry,2.7,van der Knaap et al. 2021,
gray reef shark,Carcharhinus amblyrhynchos,Carcharhinidae,marine,BIOT,102,,,N,"MPA, PA",EN,piscivory; invertivory,resident,1191.5,adult,Ecology and Evolution,2.6,Williamson et al. 2021,
silvertip shark,Carcharhinus albimarginatus,Carcharhinidae,marine,BIOT,75,,,N,,VU,piscivory,resident,1235.6,adult,Ecology and Evolution,2.6,Williamson et al. 2021,
blue marlin,Makaira nigricans,Istiophoridae,marine,BIOT,1,,,Y,MPA,VU,piscivory; invertivory,resident,,,Frontiers in Marine Science,3.7,Carlisle et al. 2019,
sailfish,Istiophorus platypterus,Istiophoridae,marine,BIOT,2,,,Y,MPA,VU,piscivory; invertivory,resident,222.5,,Frontiers in Marine Science,3.7,Carlisle et al. 2019,
silky shark,Carcharhinus falciformis,Carcharhinidae,marine,BIOT,2,,,Y,MPA,VU,piscivory,resident,194.5,,Frontiers in Marine Science,3.7,Carlisle et al. 2019,
yellowfin tuna,Thunnus albacares,Scombridae,marine,BIOT,3,,,Y,MPA,LC,piscivory,resident,102.3333333,,Frontiers in Marine Science,3.7,Carlisle et al. 2019,
reef manta ray,Mobula alfredi,Mobulidae,marine,BIOT,11,,,Y,MPA,VU,filter feeder,resident,250,,Frontiers in Marine Science,3.7,Carlisle et al. 2019,
silvertip shark,Carcharhinus albimarginatus,Carcharhinidae,marine,BIOT,7,,,N,MPA,VU,piscivory,resident,142,,Frontiers in Marine Science,3.7,Carlisle et al. 2019,
Arapaima,Arapaima spp.,Arapaimidae,freshwater,Brazil,24,14,58,Y,,DD,omnivory,resident,1310,,Environmental Biology of Fishes,1.6,Gurdak et al. 2022,
gray parrotfish,Sparisoma axillare,Scaridae,marine,Brazil,20,16,80,Y,,DD,herbivory,resident,253.5,,Marine Ecology Progress Series,2.6,Lippi et al. 2022,
Brazilian snapper,Lutjanus alexandrei,Lutjanidae,marine,Brazil,9,9,100,,,NE,,resident,224.7,,Marine Ecology Progress Series,2.6,Lippi et al. 2022,
redtail catfish,Phractocephalus hemioliopterus,Pimelodidae,freshwater,Brazil,121,92,76,,,NE,piscivory; invertivory,resident,614,,Scientific Reports,4.6,Hahn et al. 2019,
,Pseudoplatystoma punctifer,Pimelodidae,freshwater,Brazil,61,57,93,,,NE,,resident,555,,Scientific Reports,4.6,Hahn et al. 2019,
lake trout,Salvelinus namaycush,Salmonidae,freshwater,Canada,44,29,66,N,,NE,piscivory; invertivory,resident,,adult,Movement Ecology,2.5,Blanchfield et al. 2023,
eulachon,Thaleichthys pacificus,Osmeridae,freshwater,Canada,244,,,Y,,LC,invertivory,anadromous,184.45,adult,Transactions of the American Fisheries Society,1.4,Burns et al. 2023,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Canada,144,104,72,N,,LC,piscivory; invertivory,anadromous,,juvenile,Journal of Marine Science and Engineering,2.9,Sanderson et al. 2023,
lake sturgeon,Acipenser fulvescens,Acipenseridae,freshwater,Canada,52,,,Y,,EN,invertivory,resident,973.8,adult,Environmental Biology of Fishes,1.6,McDonald & Haxton 2023,
